year,county,population,assault,arson,burglary,drug violation,murder,theft,rape,robbery,total
2007,WALLA WALLA,58300,24,0,20,111,0,179,9,5,1227
2008,WALLA WALLA,58600,43,1,19,91,2,191,7,5,1053
2009,WALLA WALLA,59200,31,1,53,90,0,215,7,6,1214
2010,WALLA WALLA,59600,32,0,21,105,1,226,6,7,1242
2011,WALLA WALLA,58800,49,0,22,149,2,250,6,10,1314
2012,WALLA WALLA,59100,35,0,34,137,1,223,2,6,1173
2013,WALLA WALLA,59500,201,0,35,109,0,295,1,5,1180
2014,WALLA WALLA,60150,211,1,55,151,2,367,4,4,1318
2015,WALLA WALLA,60650,211,1,31,106,1,263,11,13,1053
2016,WALLA WALLA,60730,188,0,36,116,1,210,5,11,1070
2017,WALLA WALLA,61400,170,2,29,99,0,174,1,4,1165
2018,WALLA WALLA,61800,180,4,37,179,0,252,9,5,1486
2019,WALLA WALLA,62200,190,1,51,168,3,289,16,6,1623
2020,WALLA WALLA,62580,194,1,52,205,5,286,14,7,1436
1990,WHATCOM,127780,136,6,65,132,1,885,28,21,7020
1991,WHATCOM,132576,158,5,71,201,2,937,24,17,7322
1992,WHATCOM,137298,131,6,88,261,5,1099,36,20,8164
1993,WHATCOM,141156,134,4,76,340,0,884,22,19,7348
1994,WHATCOM,145580,157,6,84,356,2,902,25,22,7443
1995,WHATCOM,149114,144,6,61,326,6,892,37,24,7374
1996,WHATCOM,153171,165,8,109,337,1,1016,18,37,7794
1997,WHATCOM,157460,129,8,94,445,2,932,32,27,7369
1998,WHATCOM,160220,148,1,101,432,6,821,37,33,7955
1999,WHATCOM,164282,132,6,100,447,2,782,22,40,7919
2000,WHATCOM,166814,122,1,98,582,3,864,37,27,8330
2001,WHATCOM,170600,125,4,135,673,2,884,28,25,7839
2002,WHATCOM,172200,141,5,108,596,3,949,29,44,7768
2003,WHATCOM,174500,147,5,151,701,2,950,27,45,7694
2004,WHATCOM,177300,174,2,187,647,4,1121,26,47,8609
2005,WHATCOM,180800,159,17,187,721,4,1119,27,31,8780
2006,WHATCOM,184300,143,5,172,763,1,1002,26,42,8206
2007,WHATCOM,188300,171,3,183,862,3,1047,32,33,8644
2008,WHATCOM,191000,159,4,213,825,2,1015,23,34,8029
2009,WHATCOM,193100,150,3,181,735,2,1183,16,48,7775
2010,WHATCOM,195500,185,5,193,698,3,985,20,47,6580
2011,WHATCOM,202100,179,2,152,801,2,927,24,33,6643
2012,WHATCOM,203500,296,5,136,532,2,835,21,20,4765
2013,WHATCOM,205800,555,4,158,392,3,1317,14,45,5541
2014,WHATCOM,207600,782,2,203,419,1,1329,42,47,5028
2015,WHATCOM,209790,773,2,166,397,6,1106,27,39,4449
2016,WHATCOM,212540,786,6,199,444,1,1199,39,34,4537
2017,WHATCOM,216300,822,4,203,500,4,1280,28,48,4630
2018,WHATCOM,220350,792,5,182,435,3,944,33,41,4260
2019,WHATCOM,225300,799,4,174,368,6,903,37,51,4106
2020,WHATCOM,228000,716,12,234,236,10,897,28,60,3571
1990,WHITMAN,38775,67,2,27,61,0,130,4,4,1201
1991,WHITMAN,38622,50,1,28,63,0,180,4,0,1382
1992,WHITMAN,39217,52,1,27,51,0,146,2,6,1252
1993,WHITMAN,39545,37,2,20,99,1,130,7,0,1398
1994,WHITMAN,39722,21,0,14,61,0,96,3,2,865
1995,WHITMAN,40138,10,3,16,43,0,25,2,0,404
1996,WHITMAN,40582,11,0,12,29,0,39,1,1,412
1997,WHITMAN,40815,13,3,29,112,0,145,5,4,1437
1998,WHITMAN,41058,9,2,29,49,0,33,2,0,540
1999,WHITMAN,41192,11,2,42,141,0,131,6,1,1620
2000,WHITMAN,40740,10,1,48,107,0,144,3,5,1905
2001,WHITMAN,40300,8,2,27,138,0,135,6,4,1624
2002,WHITMAN,40600,7,0,16,95,0,63,3,1,789
2003,WHITMAN,41000,10,4,46,149,0,121,6,3,1854
2004,WHITMAN,41700,13,2,48,212,1,138,6,2,2068
2005,WHITMAN,42400,11,1,48,170,1,129,8,2,1846
2006,WHITMAN,42800,13,3,37,307,0,95,6,2,2162
2007,WHITMAN,42700,4,1,35,226,0,86,4,1,1940
2008,WHITMAN,43000,2,3,32,210,0,55,2,0,1780
2009,WHITMAN,43300,3,1,31,256,2,103,4,1,2169
2010,WHITMAN,43600,3,0,41,224,0,62,2,7,2059
2011,WHITMAN,44800,7,5,32,256,0,59,1,1,1699
2012,WHITMAN,45950,1,0,25,159,2,58,2,0,1199
2013,WHITMAN,46000,125,0,26,91,1,92,3,7,1131
2014,WHITMAN,46500,166,0,30,85,0,104,8,0,1258
2015,WHITMAN,47250,153,1,21,129,1,74,7,1,1325
2016,WHITMAN,47940,179,0,29,82,0,108,13,3,1174
2017,WHITMAN,48640,116,1,20,109,0,105,6,1,837
2018,WHITMAN,49210,137,1,14,106,1,130,5,3,1112
2019,WHITMAN,50130,141,1,14,113,0,92,9,5,1092
2020,WHITMAN,50480,150,1,20,149,1,86,8,3,1096
1990,YAKIMA,188823,227,6,308,743,13,1991,46,62,11340
1991,YAKIMA,195026,257,4,299,528,8,1867,71,58,9297
1992,YAKIMA,200555,242,2,294,696,6,1611,65,68,8977
1993,YAKIMA,207390,224,7,189,516,7,1556,44,48,7660
1994,YAKIMA,214440,200,8,195,490,18,1482,40,58,8021
1995,YAKIMA,219480,276,7,205,604,5,1757,53,65,8389
1996,YAKIMA,223203,259,6,190,578,12,1608,55,60,8581
1997,YAKIMA,223917,201,8,225,601,9,1369,53,59,8686
1998,YAKIMA,222838,173,3,222,777,5,1506,62,55,9853
1999,YAKIMA,223596,129,5,187,720,10,1510,60,50,9916
2000,YAKIMA,222581,201,11,171,778,12,1399,60,61,10044
2001,YAKIMA,224500,175,12,182,762,12,1214,50,59,9072
2002,YAKIMA,225000,156,7,229,949,4,1340,68,59,9527
2003,YAKIMA,226000,229,15,263,982,10,1764,74,82,10448
2004,YAKIMA,227500,224,8,262,787,10,1741,60,88,10335
2005,YAKIMA,229300,237,20,301,824,25,1818,63,80,11517
2006,YAKIMA,231800,234,16,243,981,16,1544,62,83,10614
2007,YAKIMA,234200,276,12,213,833,14,1384,65,93,9710
2008,YAKIMA,235900,231,12,187,770,10,1387,50,83,9350
2009,YAKIMA,238400,215,6,208,656,26,1282,39,75,8585
2010,YAKIMA,239100,246,14,205,629,24,1281,47,68,8003
2011,YAKIMA,244700,272,3,194,701,21,1364,65,98,8699
2012,YAKIMA,246000,136,5,139,380,16,853,23,49,6033
2013,YAKIMA,247250,1512,6,145,498,20,1036,57,62,7807
2014,YAKIMA,248800,1503,4,134,372,12,1296,64,50,7460
2015,YAKIMA,249970,1775,10,150,391,15,1477,62,68,8610
2016,YAKIMA,250900,1885,7,178,430,18,1355,65,65,7901
2017,YAKIMA,253000,1862,4,181,467,8,1293,65,63,7492
2018,YAKIMA,254500,1602,7,157,477,9,1255,69,61,7116
2019,YAKIMA,255950,1676,7,167,403,17,1281,85,71,7229
2020,YAKIMA,258200,1360,7,136,271,7,933,86,69,6189
